"","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","diam_tig_princip_mm","diam_tig_lat_mm","diam_rac_pivot_mm","diam_rac_lat_mm","conicite_mm","empreinte_mm","empreinte_photo_mm","x_mm","y_mm","y_photo_mm","prof_pivot_mm","axes_caul_totaux","axes_caul_morts","axes_caul_inflo","axes_rac_lat","inclinaison_axe_principal","complex_rac","mean_vessel_size_µm2_Tige","std_dev_vessel_size_µm2_Tige","mean_vessel_perim_µm_Tige","std_dev_perim_µm_Tige","sum_vessel_area_µm2_Tige","count_vessel_Tige","count_cluster_Tige","vessel_grouping_Tige","dh_Tige","vessel_density_per_mm2_Tige","vessel_area_Tige","Kth_Tige","Ring_Size_Year_2024_Tige","Ring_Size_Year_2023_Tige","Ring_Size_Year_2022_Tige","Ring_Size_Year_2021_Tige","mean_vessel_size_µm2_Racine","std_dev_vessel_size_µm2_Racine","mean_vessel_perim_µm_Racine","std_dev_perim_µm_Racine","sum_vessel_area_µm2_Racine","count_vessel_Racine","count_cluster_Racine","vessel_grouping_Racine","dh_Racine","image_surface_rectified_mm2_Racine","vessel_density_per_mm2_Racine","vessel_area_Racine","Kth_Racine","Ring_Size_Year_2024_Racine","Ring_Size_Year_2023_Racine","Ring_Size_Year_2022_Racine","Ring_Size_Year_2021_Racine"
"31",30,"T2","T",2,"Fe3","Fe",3,0,5.05,2.97,NA,NA,14,182,204,194,115,115,17,5,0,3,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",31,"T2","T",2,"Ft1","Ft",1,0,9.55,6.89,9.49,5.18,24.11,NA,317,317,138,194,71,3,0,3,5,0,5,229.849802516293,147.758119205084,76.7776017457531,43.8969074908654,54934.102801394,239,76,3.14473684210526,18.6465749659741,1105.38225157722,0.254071892230039,3.26737152818674,120.47,182.404,117.01,143.442,219.631912122214,112.661512522416,59.1383354547013,20.0124648610906,33823.314466821,154,101,1.52475247524752,17.7221865193805,0.214454264874684,718.101829730407,0.15771807796215,1.73198845378192,120.056,150.739,161.817,228.153
"33",32,"T2","T",2,"Ft2","Ft",2,0,5.27,3.74,4.83,2.93,22,NA,131,146,117,128,29,2,0,2,3,0,4,100.990306941764,36.4691281584398,48.7777902399583,13.0795549750405,7271.302099807,72,63,1.14285714285714,11.6877049807015,448.080384001962,0.0452517755149416,0.204438479176636,178.505,130.504,99.622,192.456,111.774411674149,41.0456909910072,55.6450144411702,11.5669190670534,5253.397348685,47,38,1.23684210526316,12.3051243940102,0.085045786765333,552.64348520506,0.0617714004243468,0.309798160978754,63.424,131.754,65.87,101.497
"34",33,"T2","T",2,"Ft3","Ft",3,0,6.68,3.94,6.5,3.99,19,127,109,127,NA,51,22,3,0,3,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215.908405633963,120.631922473206,63.1694478336,22.8229871620729,29147.634760585,135,112,1.20535714285714,17.7376269589003,0.230678547633508,585.22997211896,0.126356070209413,1.41644062757671,167.465,332.891,97.691,195.989
"35",34,"t2","T",2,"Ft1","Ft",1,1,10.56,7.81,9.43,5.38,38,210,201,210,NA,121,30,2,0,2,2,0,6,191.353620746881,99.8845300400563,72.8399315710206,25.6198276770443,37122.602424895,194,157,1.23566878980892,16.5735529504786,478.766292174766,0.0916136634992008,0.883234030239029,133.807,221.589,173.034,344.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",35,"t2","T",2,"Ft2","Ft",2,1,10.24,5.68,8.94,6.82,9,125,121,210,40,88,169,3,0,1,2,0,5,180.933839476709,124.767693073982,57.2526768002524,23.8698605343117,18636.185466101,103,70,1.47142857142857,16.7151647594245,531.572148503293,0.0961793897875839,1.0145994257948,138.749,106.899,122.498,182.055,77.5452457574062,18.1817524948649,37.3989864240937,7.2169414527666,2481.447864237,32,18,1.77777777777778,10.066214661926,0.0681003152528512,469.895034717335,0.0364381259473407,0.117965592386208,81.907,65.786,82.189,110.633
"37",36,"t2","T",2,"Ft3","Ft",3,1,10.71,5.85,6.35,5.02,20,87,77,130,89,71,93,3,0,3,0,1,3,130.983231315714,51.8374282876929,49.3483193999619,10.9995572321436,13753.23928815,105,71,1.47887323943662,13.3881555888472,706.843975017554,0.0925847078838432,0.555259900373898,74.859,92.635,127.699,133.171,307.15940632825,132.98602595992,70.1890669062143,18.1590494852522,17200.926754382,56,35,1.6,20.6292894008579,0.0765078866494218,731.950684464805,0.224825537701766,3.24122098582582,35.013,58.167,44.266,90.72
"38",37,"T3","T",3,"Ho1","Ho",1,0,6.92,5.01,4.83,2.28,40,60,123,134,88,NA,11,4,0,3,4,0,5,112.72942384106,37.5946571246841,NA,NA,170221.43,1510,257,5.87548638132296,12.3003193815075,1145.92441873925,0.129179399489877,0.641373886581265,216.646,386.185,268.45,178.971,152.859306976715,76.2763389312944,49.8288265349644,13.0238528965594,38673.404665109,253,46,5.5,14.7453760684243,0.158771593336578,1593.48404008057,0.243578866045173,1.84187807597739,65.48,136.296,57.383,120.011
"39",38,"T3","T",3,"Ho2","Ho",2,0,6.16,3.03,4.31,2.36,24,130,150,195,22,103,16,4,0,3,3,1,7,134.613989414956,70.7033131356308,53.4999199282752,14.2804006160338,54787.893691887,407,273,1.49084249084249,13.9121348895222,837.143588079065,0.112691238104473,0.766769486169605,216.646,398.747,177.505,158.626,246.81719047619,189.305318862341,NA,NA,10366.322,42,17,2.47058823529412,19.8569230040487,0.0368550999904523,1139.5980477839,0.281272388426175,4.33200800931458,73.307,76.968,72.221,96.859
"40",39,"T3","T",3,"Ho3","Ho",3,0,4.73,1.38,3.2,2.01,23,185,152,327,15,67,18,13,0,8,5,1,7,124.976881463935,51.7263084011487,49.3550247197822,13.3350614593271,63113.325139287,505,363,1.39118457300275,13.1221717350244,719.377667487942,0.0899055774774423,0.521518318028539,308.249,178.225,160.402,782.837,219.225841680047,149.167679060861,57.4526929751132,20.5334239244693,23237.939218085,106,27,3.92592592592593,18.3605713566131,0.0938082027422907,1129.96515124805,0.247717561351475,3.13978249490069,34.074,109.412,95.238,54.432
