"","file","id_complete","image_surface_µm2","id_amap","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ"
"67","1894_P1-Fe3-75_Tige_X200_11µm_square.jpg","1894_P1_Fe3_75_T_X200_11µm",1804807.54504076,"1894","75","P1","P","1","Fe3","Fe","3",0,"T"
"68","1895_P1-Fe3-75_Racine_X200_09µm_square.jpg","1895_P1_Fe3_75_R_X200_09µm",1440409.94917264,"1895","75","P1","P","1","Fe3","Fe","3",0,"R"
"69","1896_P1-Ft2-77_Tige_X200_09µm_square.jpg","1896_P1_Ft2_77_T_X200_09µm",3219636.76253056,"1896","77","P1","P","1","Ft2","Ft","2",0,"T"
"70","1897_P1-Ft2-77_Racine_X200_09µm_square.jpg","1897_P1_Ft2_77_R_X200_09µm",3219636.76253056,"1897","77","P1","P","1","Ft2","Ft","2",0,"R"
"71","1898_P1-Ft3-78_Tige_X200_09µm_square.jpg","1898_P1_Ft3_78_T_X200_09µm",3069304.31010375,"1898","78","P1","P","1","Ft3","Ft","3",0,"T"
"72","1899_P1-Ft3-78_Racine_X200_09µm_square.jpg","1899_P1_Ft3_78_R_X200_09µm",4254904.02122432,"1899","78","P1","P","1","Ft3","Ft","3",0,"R"
"73","1900_P2-Fe3-81_Tige_X200_09µm_square.jpg","1900_P2_Fe3_81_T_X200_09µm",2733036.75355905,"1900","81","P2","P","2","Fe3","Fe","3",0,"T"
"74","1901_P2-Fe3-81_Racine_X200_09µm_square.jpg","1901_P2_Fe3_81_R_X200_09µm",3157693.70008896,"1901","81","P2","P","2","Fe3","Fe","3",0,"R"
"75","1902_P3-Fe2-86_Tige_X200_09µm_square.jpg","1902_P3_Fe2_86_T_X200_09µm",2954201.9744406,"1902","86","P3","P","3","Fe2","Fe","2",0,"T"
"76","1903_P3-Fe2-86_Racine_X200_09µm_square.jpg","1903_P3_Fe2_86_R_X200_09µm",5085036.01782522,"1903","86","P3","P","3","Fe2","Fe","2",0,"R"
"77","1904_P3-Ft1-88_Tige_X200_09µm_square.jpg","1904_P3_Ft1_88_T_X200_09µm",4686577.04222064,"1904","88","P3","P","3","Ft1","Ft","1",0,"T"
"78","1905_P3-Ft1-88_Racine_X200_09µm_square.jpg","1905_P3_Ft1_88_R_X200_09µm",3935020.69687968,"1905","88","P3","P","3","Ft1","Ft","1",0,"R"
"79","1906_P3-Ft2-89_Tige_X200_09µm_square.jpg","1906_P3_Ft2_89_T_X200_09µm",2526166.64744144,"1906","89","P3","P","3","Ft2","Ft","2",0,"T"
"80","1907_P3-Ft2-89_Racine_X200_09µm_square.jpg","1907_P3_Ft2_89_R_X200_09µm",3153018.75198016,"1907","89","P3","P","3","Ft2","Ft","2",0,"R"
"81","1909_T1-Ho1-1_Racine_X200_09µm_square.jpg","1909_T1_Ho1_01_R_X200_09µm",609777.58703197,"1909","01","T1","T","1","Ho1","Ho","1",0,"R"
"82","1910_T1-Fe3-9_Tige_X200_09µm_square.jpg","1910_T1_Fe3_09_T_X200_09µm",4102266.965472,"1910","09","T1","T","1","Fe3","Fe","3",0,"T"
"83","1911_T1-Fe3-9_Racine_X200_09µm_square.jpg","1911_T1_Fe3_09_R_X200_09µm",4561635.40170975,"1911","09","T1","T","1","Fe3","Fe","3",0,"R"
"84","1912_T1-Ho3-3_Tige_X200_09µm_square.jpg","1912_T1_Ho3_03_T_X200_09µm",8816718.38579136,"1912","03","T1","T","1","Ho3","Ho","3",0,"T"
"85","1913_T1-Ho3-3_Racine_X200_09µm_square.jpg","1913_T1_Ho3_03_R_X200_09µm",9364154.80933184,"1913","03","T1","T","1","Ho3","Ho","3",0,"R"
"86","1914_T1-Fe1-7_Tige_X200_09µm_square.jpg","1914_T1_Fe1_07_T_X200_09µm",13250015.5050049,"1914","07","T1","T","1","Fe1","Fe","1",0,"T"
"87","1915_T1-Fe1-7_Racine_X200_09µm_square.jpg","1915_T1_Fe1_07_R_X200_09µm",6024605.62781056,"1915","07","T1","T","1","Fe1","Fe","1",0,"R"
"88","1916_T1-Ho3-3_Tige_X200_09µm_square.jpg","1916_T1_Ho3_03_T_X200_09µm",3063026.00088576,"1916","03","T1","T","1","Ho3","Ho","3",0,"T"
"89","1917_T1-Ho3-3_Racine_X200_09µm_square.jpg","1917_T1_Ho3_03_R_X200_09µm",2802689.82807696,"1917","03","T1","T","1","Ho3","Ho","3",0,"R"
"90","1918_F1-Ft2-59_Tige_X200_09µm_square.jpg","1918_F1_Ft2_59_T_X200_09µm",2694479.38857108,"1918","59","F1","F","1","Ft2","Ft","2",0,"T"
"91","1919_F1-Ft2-59_Racine_X200_09µm_square.jpg","1919_F1_Ft2_59_R_X200_09µm",3150155.34626352,"1919","59","F1","F","1","Ft2","Ft","2",0,"R"
"92","1920_T1-Ft2-14_Tige_X200_09µm_square.jpg","1920_T1_Ft2_14_T_X200_09µm",2669278.49642208,"1920","14","T1","T","1","Ft2","Ft","2",0,"T"
"93","1921_T1-Ft2-14_Racine_X200_09µm_square.jpg","1921_T1_Ft2_14_R_X200_09µm",5132961.54054684,"1921","14","T1","T","1","Ft2","Ft","2",0,"R"
"94","1922_T3-Ft1-49_Tige_X200_09µm_square.jpg","1922_T3_Ft1_49_T_X200_09µm",4974327.4029237,"1922","49","T3","T","3","Ft1","Ft","1",0,"T"
"95","1923_T3-Ft1-49_Racine_X200_09µm_square.jpg","1923_T3_Ft1_49_R_X200_09µm",2521141.07822448,"1923","49","T3","T","3","Ft1","Ft","1",0,"R"
"96","1924_T2-Ho2-20_Tige_X200_09µm_square.jpg","1924_T2_Ho2_20_T_X200_09µm",18407608.1784,"1924","20","T2","T","2","Ho2","Ho","2",0,"T"
"97","1925_T2-Ho2-20_Racine_X200_09µm_square.jpg","1925_T2_Ho2_20_R_X200_09µm",12553196.2278722,"1925","20","T2","T","2","Ho2","Ho","2",0,"R"
"98","1926_T2-Ho3-21_Tige_X200_09µm_square.jpg","1926_T2_Ho3_21_T_X200_09µm",3779929.29337024,"1926","21","T2","T","2","Ho3","Ho","3",0,"T"
"99","1927_T2-Ho3-21_Racine_X200_09µm_square.jpg","1927_T2_Ho3_21_R_X200_09µm",4130316.6541248,"1927","21","T2","T","2","Ho3","Ho","3",0,"R"
"100","1928_T2-Ft1-31_Tige_X200_09µm_square.jpg","1928_T2_Ft1_31_T_X200_09µm",3321083.13649152,"1928","31","T2","T","2","Ft1","Ft","1",0,"T"
"101","1929_T2-Ft1-31_Racine_X200_09µm_square.jpg","1929_T2_Ft1_31_R_X200_09µm",3126576.07673976,"1929","31","T2","T","2","Ft1","Ft","1",0,"R"
"102","1930_T3-Ft2-50_Tige_X200_09µm_square.jpg","1930_T3_Ft2_50_T_X200_09µm",7076352.07858784,"1930","50","T3","T","3","Ft2","Ft","2",0,"T"
