"","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ","year","ring_length_µm","mean_vessel_size_µm2","vessel_density_per_mm2","vessel_area","Kth"
"117","15","T1","T",1,"Ft1","Ft",1,0,"T","2021",132.495,130.508685714286,857.072265513077,0.111855374934277,0.668749770908198
"118","15","T1","T",1,"Ft1","Ft",1,0,"T","2022",229.738,131.477180555556,933.138264892027,0.122686388136507,0.79453694887841
"119","15","T1","T",1,"Ft1","Ft",1,0,"T","2023",187.46,150.133614035088,932.260748000025,0.139963675320298,1.0120282642539
"120","15","T1","T",1,"Ft1","Ft",1,0,"T","2024",42.913,97.6858333333333,1076.81092642217,0.105189172689988,0.432965351797286
"121","16","T1","T",1,"Ft1","Ft",1,1,"R","2021",195.888,221.139,611.332341004806,0.135189422557462,1.98734271214243
"122","16","T1","T",1,"Ft1","Ft",1,1,"R","2022",112.517,185.505347826087,761.572538518379,0.141275778652648,1.29345917014834
"123","16","T1","T",1,"Ft1","Ft",1,1,"R","2023",194.866,188.716583333333,712.201573004247,0.134404247501987,1.27177896681464
"124","16","T1","T",1,"Ft1","Ft",1,1,"R","2024",156.207,197.255256410256,672.460090866488,0.132646287649533,1.30687072608857
"125","16","T1","T",1,"Ft1","Ft",1,1,"T","2021",438.870284129559,119.10841,558.840670566356,0.0665626237144925,0.38689298116156
"126","16","T1","T",1,"Ft1","Ft",1,1,"T","2022",289.3710428549,154.953604166667,649.161303517816,0.100589883665617,0.770615635938074
"127","16","T1","T",1,"Ft1","Ft",1,1,"T","2023",229.664591073204,152.817247191011,671.000912260221,0.102540512274264,0.825228267471287
"128","16","T1","T",1,"Ft1","Ft",1,1,"T","2024",170.758725341426,142.769857142857,674.766264275081,0.0963362831553728,0.653357388588198
"129","17","T1","T",1,"Ft2","Ft",2,1,"R","2021",91.747,130.237444444444,1069.706014339,0.139315777614364,0.816363946856984
"130","17","T1","T",1,"Ft2","Ft",2,1,"R","2022",50.412,114.4484,806.889195536144,0.0923471774063989,0.427791061431573
"131","17","T1","T",1,"Ft2","Ft",2,1,"R","2023",164.365,138.323763636364,1151.6243151116,0.159297009561386,1.0045137423451
"132","17","T1","T",1,"Ft2","Ft",2,1,"R","2024",45.03,161.828090909091,924.229584279689,0.149566309185685,1.11285157280663
"133","17","T1","T",1,"Ft2","Ft",2,1,"T","2021",360.201,136.016709677419,676.72638039958,0.0920460956138605,0.577362365326909
"134","17","T1","T",1,"Ft2","Ft",2,1,"T","2022",101.256,120.794,650.263954741096,0.0785479841489959,0.451850835695228
"135","17","T1","T",1,"Ft2","Ft",2,1,"T","2023",286.161,128.731518518519,717.949700297699,0.0924227551392381,0.530846514020936
"136","17","T1","T",1,"Ft2","Ft",2,1,"T","2024",97.366,131.508230769231,469.73565783415,0.0617741052909898,0.374688190407711
