"","id_amap","image_surface_rectified_µm2","mean_vessel_size_µm2","std_dev_vessel_size_µm2","mean_vessel_perim_µm","std_dev_perim_µm","sum_vessel_area_µm2","dh","count_vessel","count_cluster","vessel_grouping","image_surface_rectified_mm2","vessel_density_per_mm2","vessel_density_per_m2","dh_m","vessel_area","Kth"
"59","1886",88957.564944341,140.57885947493,57.289811422631,55.1554203581127,14.2976624356301,9981.09902272,13.8956557259971,71,51,1.3921568627451,0.088957564944341,798.133357679286,798133357.679286,1.38956557259971e-05,0.11220067713145,0.727581071311967
"60","1887",88681.848514982,137.961814615649,50.2761021139175,50.1637557371351,11.6371996987406,10209.174281558,13.6678716131803,74,57,1.29824561403509,0.088681848514982,834.443589518754,834443589.518754,1.36678716131803e-05,0.115121351804403,0.712016884336255
"61","1888",126714.561576611,96.4517911536271,30.5392883400715,43.5598683192881,7.53622356309886,5690.655678064,11.3452883132567,59,44,1.34090909090909,0.126714561576611,465.613417005187,465613417.005187,1.13452883132567e-05,0.044909248055311,0.188615500793167
"62","1889",175231.891549333,110.794517636483,62.4388096036013,80.9950994978276,25.7490708399507,3213.041011458,12.6985289019718,29,29,1,0.175231891549333,165.494989203125,165494989.203125,1.26985289019718e-05,0.0183359375000151,0.105217564052134
"63","1890",125861.40130463,188.756060644056,91.2390021720656,56.7300596436056,16.9659461453373,13401.680305728,16.3272552360415,71,56,1.26785714285714,0.12586140130463,564.112581490765,564112581.490765,1.63272552360415e-05,0.106479668641946,0.980185470733489
"64","1891",202884.85303497,203.510810330788,115.640569365957,56.750885175177,17.2045133453935,22996.721567379,17.2541833928994,113,76,1.48684210526316,0.20288485303497,556.966172238215,556966172.238215,1.72541833928994e-05,0.113348637039036,1.20696924805773
"65","1892",138328.328988873,159.638496380807,70.1010502555143,48.643040759747,11.751415378545,13249.995199607,14.8921295807134,83,62,1.33870967741935,0.138328328988873,600.02170637568,600021706.37568,1.48921295807134e-05,0.0957865630016597,0.721579081690086
"66","1893",124010.788249971,148.023489721893,87.2567116151704,52.9330933745333,15.3341862510359,11101.761729142,14.7784003481817,75,56,1.33928571428571,0.124010788249971,604.786092068224,604786092.068224,1.47784003481817e-05,0.0895225478832048,0.705344448063651
"67","1894",135299.829063206,216.181844287658,121.090337410999,65.1539577273836,17.3663711734982,15781.274632999,17.7474875403878,73,57,1.28070175438596,0.135299829063206,539.542440706985,539542440.706985,1.77474875403878e-05,0.1166392799035,1.30876863676972
"68","1895",107982.272369988,261.816079425951,190.64319003804,68.4419512434512,25.4330479271965,21468.918512928,20.2852982202716,82,46,1.78260869565217,0.107982272369988,759.383908120002,759383908.120002,2.02852982202716e-05,0.198818917603136,3.14395791588044
"69","1896",223077.864337556,201.486645622923,114.391164378001,57.3483529324903,20.9552588874353,31230.430071553,17.1688723042688,155,103,1.50485436893204,0.223077864337556,694.824654433027,694824654.433027,1.71688723042688e-05,0.139997888917817,1.47615529679965
"70","1897",216809.491017039,244.165618211558,167.804341885265,65.8306734727117,25.1603117133883,39798.995768484,19.4126156240817,163,79,2.06329113924051,0.216809491017039,751.81210580486,751812105.80486,1.94126156240817e-05,0.183566667592777,2.61056964230688
"71","1898",207389.681646941,131.408493319437,58.5358220496597,46.2706611538169,12.4877663843063,18660.00605136,13.529845256121,142,104,1.36538461538462,0.207389681646941,684.701374110502,684701374.110502,1.3529845256121e-05,0.0899755759456089,0.560999229138463
"72","1899",301104.244847184,193.069950509432,105.859490876636,56.5342162021091,16.8700742444114,42475.389112075,16.7392729638457,220,154,1.42857142857143,0.301104244847184,730.643967213594,730643967.213594,1.67392729638457e-05,0.141065394589944,1.40262609781166
"73","1900",204885.782196599,120.631344140504,87.3488112267581,55.4645903954021,21.5669979496069,46201.804805813,13.7675413570689,383,56,6.83928571428571,0.204885782196599,1869.33420120138,1869334201.20138,1.37675413570689e-05,0.225500297338738,1.64211004575352
"74","1901",236720.762293994,180.955611816449,116.951474381136,56.2251779938912,18.2734069907386,26600.474937018,16.5546325695581,147,93,1.58064516129032,0.236720762293994,620.984820154618,620984820.154618,1.65546325695581e-05,0.112370688059806,1.14037822270902
"75","1902",217531.227370358,123.698407534227,48.1010796090138,48.8972740510455,10.8151609016674,10885.459863012,12.9946205934684,88,76,1.15789473684211,0.217531227370358,404.539619730897,404539619.730897,1.29946205934684e-05,0.0500409067452139,0.282036440082141
"76","1903",356349.931855741,190.083983714869,98.4381664906016,57.2682477932081,18.575516330816,42008.560400986,16.5051551721379,221,162,1.3641975308642,0.356349931855741,620.176911074775,620176911.074775,1.65051551721379e-05,0.117885697865075,1.12534008108531
"77","1904",311222.791384836,125.845102705422,73.4394881488891,48.7501707729114,25.3929578961197,29825.289341185,13.6168889828525,237,175,1.35428571428571,0.311222791384836,761.512352438683,761512352.438683,1.36168889828525e-05,0.0958326002040935,0.640144894786905
"78","1905",288681.67273549,123.276852593072,52.5312943897045,44.9176239052889,13.1584562378709,22189.833466753,13.059275142711,180,135,1.33333333333333,0.28868167273549,623.524168660781,623524168.660781,1.3059275142711e-05,0.076866097028213,0.443424134602686
"79","1906",184848.289197764,122.558568359284,61.3263269096057,47.3241588093895,15.5746258315695,11643.063994132,13.2025752441468,95,74,1.28378378378378,0.184848289197764,513.934970197978,513934970.197978,1.32025752441468e-05,0.0629871341772355,0.381797009236077
"80","1907",224907.394805263,156.770601335598,93.8748426105422,54.5576143651639,20.7307391003835,19126.013362943,15.2448243396044,122,90,1.35555555555556,0.224907394805263,542.445481197424,542445481.197424,1.52448243396044e-05,0.0850395042790982,0.716366949328731
"81","1909",44219.2202328126,108.650915364783,42.8214255040554,53.8004880583913,17.7630975050073,2498.97105339,12.1761991200288,23,20,1.15,0.0442192202328126,520.135811506983,520135811.506983,1.21761991200288e-05,0.0565132320342378,0.279546120486976
