number,Label,Area,Perim.,%Area
262,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,75.842553061,41.037311952,92.779783394
263,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,62.973961026,30.445170940,88.260869565
264,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,108.698532727,45.731238355,94.962216625
265,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,116.912527643,53.796862112,94.847775176
266,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,62.973961026,42.464721329,95.217391304
267,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,61.878761703,32.358652312,90.707964602
268,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,61.604961873,33.711687966,92.444444444
269,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,189.469482738,59.589896392,93.063583815
270,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,121.840924593,42.950793324,94.157303371
271,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,223.420661725,99.782028243,95.343137255
272,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,86.794546283,45.604274466,91.798107256
273,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,75.842553061,38.764722474,87.003610108
274,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,93.091942386,38.331240645,90.588235294
275,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,72.009355434,50.477754922,93.536121673
276,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,103.222536116,41.724721558,95.225464191
277,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,70.366556450,40.857757899,96.108949416
278,1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,136.352315612,52.443826458,94.176706827
