"","X","file","id_complete","image_surface_µm2","id_amap","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ","image_surface_rectified_µm2"
"83",83,"1911_T1-Fe3-9_Racine_X200_09µm_square.jpg","1911_T1_Fe3_09_R_X200_09µm",341969.143355981,"1911",9,"T1","T",1,"Fe3","Fe",3,0,"R",328348.696985648
"84",84,"1912_T1-Ho3-19_Tige_X200_09µm_square.jpg","1912_T1_Ho3_19_T_X200_09µm",660957.171734928,"1912",19,"T1","T",1,"Ho3","Ho",3,0,"T",660957.171734928
"85",85,"1913_T1-Ho3-19_Racine_X200_09µm_square.jpg","1913_T1_Ho3_19_R_X200_09µm",701996.480735782,"1913",19,"T1","T",1,"Ho3","Ho",3,0,"R",688182.731685084
"86",86,"1914_T1-Fe1-7_Tige_X200_09µm_square.jpg","1914_T1_Fe1_07_T_X200_09µm",993305.262845359,"1914",7,"T1","T",1,"Fe1","Fe",1,0,"T",929140.272556943
"87",87,"1915_T1-Fe1-7_Racine_X200_09µm_square.jpg","1915_T1_Fe1_07_R_X200_09µm",451642.67727925,"1915",7,"T1","T",1,"Fe1","Fe",1,0,"R",439371.516473847
"88",88,"1916_T1-Ho3-3_Tige_X200_09µm_square.jpg","1916_T1_Ho3_03_T_X200_09µm",229623.870686246,"1916",3,"T1","T",1,"Ho3","Ho",3,0,"T",222217.859069812
"89",89,"1917_T1-Ho3-3_Racine_X200_09µm_square.jpg","1917_T1_Ho3_03_R_X200_09µm",210107.418764939,"1917",3,"T1","T",1,"Ho3","Ho",3,0,"R",210107.418764939
"90",90,"1918_F1-Ft2-59_Tige_X200_09µm_square.jpg","1918_F1_Ft2_59_T_X200_09µm",201995.277385527,"1918",59,"F1","F",1,"Ft2","Ft",2,0,"T",196641.943098695
"91",91,"1919_F1-Ft2-59_Racine_X200_09µm_square.jpg","1919_F1_Ft2_59_R_X200_09µm",236155.639443747,"1919",59,"F1","F",1,"Ft2","Ft",2,0,"R",232105.044750652
"92",92,"1920_T1-Ft2-14_Tige_X200_09µm_square.jpg","1920_T1_Ft2_14_T_X200_09µm",200106.058554761,"1920",14,"T1","T",1,"Ft2","Ft",2,0,"T",185344.414490713
"93",93,"1921_T1-Ft2-14_Racine_X200_09µm_square.jpg","1921_T1_Ft2_14_R_X200_09µm",384799.377048435,"1921",14,"T1","T",1,"Ft2","Ft",2,0,"R",313165.40118256
