Label,Area,Perim.
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,61.331162042,35.931687279
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,113.900729507,50.657308975
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,75.842553061,41.037311952
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,62.973961026,30.445170940
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,108.698532727,45.731238355
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,116.912527643,53.796862112
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,62.973961026,42.464721329
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,61.878761703,32.358652312
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,61.604961873,33.711687966
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,189.469482738,59.589896392
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,121.840924593,42.950793324
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,223.420661725,99.782028243
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,86.794546283,45.604274466
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,75.842553061,38.764722474
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,93.091942386,38.331240645
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,72.009355434,50.477754922
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,103.222536116,41.724721558
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,70.366556450,40.857757899
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,136.352315612,52.443826458
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,80.770950011,47.517755838
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,83.782748147,47.338201785
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,107.329533574,49.483827374
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,139.911713409,54.970343713
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,62.700161195,55.224271489
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,102.948736285,46.471238126
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,101.032137471,44.991238584
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,98.020339335,46.904719955
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,66.533358823,50.657308975
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,79.949550519,42.158203388
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,136.626115442,69.949893186
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,136.078515781,53.183826229
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,104.043935607,49.177309433
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,148.399508156,51.217754693
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,91.449143402,39.198204304
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,83.235148486,40.857757899
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,100.210737980,48.130791721
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,74.747353739,41.291239729
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,286.668422581,68.342929755
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,145.661509850,48.564273550
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,79.401950858,43.817756983
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,70.640356281,40.117758128
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,115.269728660,48.384719497
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,113.353129846,49.177309433
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,92.544342724,42.517311494
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,128.685920357,53.871235836
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,166.744096802,100.881136120
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,118.281526796,43.130347376
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,140.733112901,48.130791721
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,119.376726118,49.737755151
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,91.449143402,42.771239271
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,121.019525101,55.837307372
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,112.531730354,54.050789889
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,141.828312223,61.757305540
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,79.675750689,46.777756067
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,62.152561534,35.752133226
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,68.449957636,39.198204304
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,101.579737133,44.071684760
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,65.438159500,36.111241332
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,161.815699853,61.196859822
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,67.628558145,40.424276069
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,65.711959331,37.284722932
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,117.460127304,44.864274695
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,72.830754925,42.337757441
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,169.482095108,54.790789660
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,179.338889008,60.636414104
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,165.375097650,59.230788286
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,82.687548825,42.771239271
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,108.698532727,43.690793095
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,131.971518323,48.130791721
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,88.163545436,47.824273779
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,99.936938149,44.557756754
1982_t1-Ho3-6_Tige_X200_09µm_square.jpg,83.508948316,52.570790347
